MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
GB_Particle1,1.816,1.644,2.043,0,105.495,168.461,0,0
GB_Particle2,0,0,2.33,0,132.345,211.378,7.8,0
GB_Particle3,0,0,0,5.792,4.716,0,0,0
GB_Particle4,5.7,4.716,0,0,100.653,160.69,0,0
GB_Particle5,117.063,90.361,114.711,0,31.094,49.456,15.992,2.038
GB_Particle6,0,0,0,0,0,0,33.883,4.973
Artificial_p1,3.606,3.119,0,0,26.742,42.452,0,0
Artificial_p2,0,0,0,0,29.85,47.466,0,0.2
Artificial_p3,0,0,2.318,0,39.123,62.328,0,2.727
